iter	Passed	Remaining
0	0	369
1	0	364
2	1	360
3	1	376
4	1	371
5	2	365
6	2	362
7	2	358
8	3	359
9	3	358
10	3	356
11	4	356
12	4	354
13	5	354
14	5	359
15	5	359
16	6	358
17	6	358
18	6	357
19	7	355
20	7	354
21	7	353
22	8	353
23	8	352
24	8	350
25	9	350
26	9	351
27	10	351
28	10	350
29	10	349
30	11	348
31	11	348
32	11	348
33	12	347
34	12	348
35	12	348
36	13	348
37	13	347
38	14	347
39	14	346
40	14	347
41	15	346
42	15	346
43	15	344
44	16	344
45	16	343
46	16	342
47	17	341
48	17	342
49	18	342
50	18	342
51	18	342
52	19	342
53	19	342
54	19	341
55	20	341
56	20	341
57	21	341
58	21	341
59	21	341
60	22	340
61	22	339
62	22	339
63	23	338
64	23	338
65	23	338
66	24	337
67	24	337
68	24	336
69	25	336
70	25	337
71	26	336
72	26	336
73	26	335
74	27	335
75	27	334
76	27	334
77	28	334
78	28	333
79	28	333
80	29	333
81	29	333
82	30	333
83	30	332
84	30	332
85	31	331
86	31	331
87	31	330
88	32	330
89	32	329
90	32	329
91	33	328
92	33	328
93	34	328
94	34	327
95	34	327
96	35	326
97	35	326
98	35	326
99	36	325
100	36	325
101	36	325
102	37	324
103	37	325
104	38	324
105	38	324
106	38	323
107	39	323
108	39	323
109	39	322
110	40	322
111	40	321
112	40	321
113	41	320
114	41	321
115	42	320
116	42	320
117	42	320
118	43	319
119	43	319
120	43	318
121	44	318
122	44	317
123	45	317
124	45	318
125	45	318
126	46	317
127	46	317
128	46	317
129	47	316
130	47	316
131	48	315
132	48	315
133	48	314
134	49	314
135	49	314
136	49	313
137	50	313
138	50	313
139	50	312
140	51	312
141	51	312
142	51	311
143	52	311
144	52	310
145	53	310
146	53	309
147	53	309
148	54	308
149	54	308
150	54	308
151	55	307
152	55	307
153	55	307
154	56	306
155	56	306
156	56	305
157	57	305
158	57	304
159	58	304
160	58	304
161	58	303
162	59	303
163	59	303
164	59	302
165	60	302
166	60	301
167	60	301
168	61	301
169	61	300
170	61	300
171	62	300
172	62	300
173	63	299
174	63	299
175	63	299
176	64	298
177	64	298
178	65	298
179	65	297
